route;prD;Département;xD;yD;prF;xF;yF;TMJA
31D0044;0;31;511656,78;6204078,36;0;511698,51;6204063,93;
31D0044E;0;31;511367,22;6204210,06;0;511880,76;6203732,4;
69D0301;2;69;844036,84;6510806,45;7;849346,89;6509342,34;
69D0383;4;69;846831,3;6522372,16;17;843537,87;6512429,8;
69D0383BPNL;0;69;844982,46;6522772,27;2;846831,3;6522372,16;
75000C01;0;75;655221,44;6858722,8;35;655221,44;6858722,8;
75000C02;0;75;655227,28;6858703,75;35;655227,28;6858703,75;
A0001;0;93;653006,6;6867037,55;2;652895,68;6869486,5;132186
A0001;2;93;652895,68;6869486,5;3;653192,95;6870100,7;132186
A0001;3;93;653192,95;6870100,7;3;653570,77;6870241,67;132186
A0001;3;93;653570,77;6870241,67;4;654333,83;6870523,68;132186
A0001;4;93;654333,83;6870523,68;4;654554,12;6870572;132186
A0001;4;93;654554,12;6870572;4;654759,06;6870596,05;132186
A0001;4;93;654759,06;6870596,05;6;656725,22;6870934,53;132757
A0001;6;93;656725,22;6870934,53;7;656820,85;6870967,75;179900
A0001;7;93;656820,85;6870967,75;8;658432,54;6871533,44;179900
A0001;8;93;658432,54;6871533,44;11;660673,01;6873226,12;196501
A0001;11;93;660673,01;6873226,12;12;661190,21;6873674,3;122500
A0001;12;93;661190,21;6873674,3;0;662045,66;6874523,29;122500
A0001;0;95;662045,66;6874523,29;14;662458,53;6874933,32;
A0001;14;95;662458,53;6874933,32;18;665417,28;6878704,65;98800
A0001;18;95;665417,28;6878704,65;19;665481,08;6878892,47;
A0001;19;95;665481,08;6878892,47;20;665966,61;6880317,6;100582
A0001;20;95;665966,61;6880317,6;20;666035,68;6880520,91;100582
A0001;20;95;666035,68;6880520,91;27;667208,81;6887489,88;100582
A0001;27;95;667208,81;6887489,88;30;667345,96;6890249,01;88718
A0001;30;95;667345,96;6890249,01;32;667686,69;6891809,56;88718
A0001;32;60;667686,69;6891809,56;42;671659,72;6900724,84;85306
A0001;42;60;671659,72;6900724,84;44;672895,5;6901827,49;60705
A0001;44;60;672895,5;6901827,49;57;677269,45;6913464,74;66830
A0001;57;60;677269,45;6913464,74;66;678030,74;6921986,21;59640
